suborder_code,undel,threepl,lqd
20666025231,(null),2016-11-21 17:54:40,(null)
21344117496,(null),2016-12-24 18:24:39,(null)
20530113413,(null),2016-11-19 20:24:39,(null)
20257648462,(null),2016-11-18 16:33:05,(null)
20862094124,(null),2016-11-25 18:24:12,(null)
21132055861,(null),2016-12-15 17:40:51,(null)
20924903733,(null),2016-12-07 16:20:56,(null)
20237906223,(null),2016-10-28 19:23:42,(null)
21347033153,(null),2016-12-19 18:17:38,(null)
21018563464,(null),2016-12-02 17:26:38,(null)
20219687231,(null),2016-11-14 16:44:21,(null)
21097185246,(null),2016-12-14 18:49:32,(null)
21377807890,(null),2016-12-24 15:35:43,(null)
20595923591,(null),2016-11-22 16:58:44,(null)
21128715662,(null),2016-12-13 20:20:48,(null)
20410168348,(null),2016-11-16 17:29:08,(null)
21066170465,(null),2016-12-22 18:31:44,(null)
20852579796,(null),2016-11-24 15:56:25,(null)
20413961808,(null),2016-11-11 17:12:37,(null)
21070952700,(null),2016-12-07 17:16:23,(null)
20383456474,(null),2016-11-11 20:07:57,(null)
21100502296,(null),2016-12-14 18:21:39,(null)
20495927669,(null),2016-11-10 17:53:08,(null)
19743209777,(null),2016-11-09 21:26:57,(null)
19653532991,(null),2016-10-20 19:00:02,(null)
20500330706,(null),2016-11-23 16:02:42,(null)
20401615452,(null),2016-11-17 18:10:17,(null)
21117237356,(null),2016-12-07 17:54:27,(null)
20849411253,(null),2016-11-28 16:49:00,(null)
20137811614,(null),2016-11-16 22:46:22,(null)
21061591335,(null),2016-12-13 18:03:19,(null)
20304608879,(null),2016-11-13 18:05:15,(null)
19623082658,(null),2016-10-27 10:09:24,(null)
19985031226,(null),2016-10-31 16:01:56,(null)
21014349157,(null),2016-12-08 17:13:27,(null)
21030525258,(null),2016-12-17 15:52:47,(null)
21266084281,(null),2016-12-20 18:05:44,(null)
20899402514,(null),2016-11-28 18:08:35,(null)
20675280439,(null),2016-11-23 16:04:25,(null)
20967282748,(null),2016-11-28 16:46:00,(null)
20455488413,(null),2016-11-10 17:53:18,(null)
20051173825,(null),2016-11-19 15:00:07,(null)
21489544804,(null),2016-12-22 17:30:46,(null)
21370146205,(null),2016-12-26 16:41:56,(null)
19256492695,(null),2016-10-22 06:56:28,(null)
20868391408,(null),2016-12-05 17:32:37,(null)
